"x","y","dtime","lc","delta.t"
72918.2148568712,828635.146050452,1995-10-10 01:28:00,"A",NA
75738.4581855933,834607.025934208,1995-10-10 12:35:00,"0",11.1166666666667
66348.6743702023,838347.842916167,1995-10-10 14:15:00,"A",1.66666666666667
77834.7944467262,834424.206968855,1995-10-10 15:55:00,"0",1.66666666666667
75509.9933753942,834044.250902332,1995-10-10 16:54:00,"2",0.983333333333333
59590.968666995,822941.261801409,1995-10-11 02:43:00,"A",9.81666666666667
62214.1519956668,835377.130847628,1995-10-11 15:46:00,"0",13.05
59806.9527151653,836456.911668838,1995-10-12 00:01:00,"1",8.25
36570.2689178534,756357.939208939,1995-10-12 04:01:00,"B",4
60157.4458624397,829091.60207037,1995-10-12 12:16:00,"1",8.25
55534.9183027125,808478.78189242,1995-10-12 13:56:00,"A",1.66666666666667
59033.6146880118,832201.60817608,1995-10-12 15:35:00,"A",1.65
58836.4055415752,821255.061287996,1995-10-12 16:09:00,"0",0.566666666666667
60612.1507433276,826753.408654027,1995-10-12 17:49:00,"0",1.66666666666667
45522.3301446433,826328.747066799,1995-10-12 19:29:00,"B",1.66666666666667
58978.8514660012,835886.122409847,1995-10-12 22:10:00,"B",2.68333333333333
25717.4562467647,822913.3193969,1995-10-12 23:49:00,"B",1.65
60567.9133521361,829656.19955861,1995-10-13 02:01:00,"1",2.2
78636.0219198915,830195.99740181,1995-10-13 03:42:00,"B",1.68333333333333
56597.9826261172,826805.929201943,1995-10-13 05:21:00,"1",1.65
79701.8079000746,839710.651458107,1995-10-13 12:09:00,"B",6.8
62416.2480287303,833928.482270582,1995-10-13 13:45:00,"1",1.6
74477.9258166513,831679.421250405,1995-10-13 15:23:00,"A",1.63333333333333
64457.8477432413,833402.711611716,1995-10-13 17:27:00,"A",2.06666666666667
66770.8141805617,834557.732538076,1995-10-13 19:09:00,"1",1.7
88855.2971875528,822928.494474198,1995-10-13 22:01:00,"B",2.86666666666667
63619.7119222312,837186.304485083,1995-10-13 23:40:00,"0",1.65
64392.6266902643,833736.688696622,1995-10-14 01:22:00,"1",1.7
95429.314714571,806329.095554451,1995-10-14 10:10:00,"B",8.8
77111.0070515626,834745.137852823,1995-10-14 11:53:00,"1",1.71666666666667
90036.5457426119,823736.809591714,1995-10-14 13:31:00,"B",1.63333333333333
75640.1855931371,833488.309215555,1995-10-14 15:14:00,"A",1.71666666666667
78915.1494025257,834222.164716362,1995-10-14 16:53:00,"B",1.65
76925.2100522972,835076.59005048,1995-10-14 17:05:00,"A",0.2
61819.4467727006,830010.490955317,1995-10-14 18:46:00,"B",1.68333333333333
75757.7185034854,839856.698517755,1995-10-14 20:10:00,"0",1.4
72478.1932352151,836333.101824645,1995-10-14 20:25:00,"0",0.25
74460.2289267338,835811.375001995,1995-10-14 21:51:00,"1",1.43333333333333
